start job on SBATCH:i12 size7 run539 max_process:/max_trial:1000000 Thu Jul 2 17:19:58 PDT 2020
SLURM_JOB_ID:1697167 SLURM_JOB_NAME:product SLURM_JOB_DIR:/rhome/wzeng002/Documents/GitHub/concatenation
note:[n_low=9, n_high=9, k_low=1, k_high=1 sub_mode=], sub_mode_A:3, sub_mode_B:4, na_input:7, n_low:9, n_high=9, data_folder:data/random4/trial539, log_file:log/product539-size7.log status_file:
start: id_Gax=1000,	 id_Gax_MAX=1023,	 Gax_row=2
start: id_Gax=2000,	 id_Gax_MAX=4095,	 Gax_row=3
start: id_Gax=1000,	 id_Gax_MAX=4095,	 Gax_row=3
start: id_Gax=3000,	 id_Gax_MAX=4095,	 Gax_row=3
start: id_Gax=4000,	 id_Gax_MAX=4095,	 Gax_row=3
start: id_Gax=2000,	 id_Gax_MAX=4095,	 Gax_row=4
start: id_Gax=1000,	 id_Gax_MAX=4095,	 Gax_row=4
start: id_Gax=3000,	 id_Gax_MAX=4095,	 Gax_row=4
start: id_Gax=4000,	 id_Gax_MAX=4095,	 Gax_row=4
start: id_Gax=1000,	 id_Gax_MAX=1023,	 Gax_row=5
start calculating for 9284 cases out of 11810080 trials.
time used: 5.32493 sec
2000, 0% finished. total: 86192656, remaining time:0.573159 min
4000, 0% finished. total: 86192656, remaining time:0.370995 min
6000, 0% finished. total: 86192656, remaining time:0.304061 min
8000, 0% finished. total: 86192656, remaining time:0.265583 min
10000, 0% finished. total: 86192656, remaining time:0.220783 min
12000, 0% finished. total: 86192656, remaining time:0.202303 min
14000, 0% finished. total: 86192656, remaining time:0.207961 min
16000, 0% finished. total: 86192656, remaining time:0.209356 min
18000, 0% finished. total: 86192656, remaining time:0.214417 min
20000, 0% finished. total: 86192656, remaining time:0.214355 min
22000, 0% finished. total: 86192656, remaining time:0.213276 min
24000, 0% finished. total: 86192656, remaining time:0.204772 min
26000, 0% finished. total: 86192656, remaining time:0.192611 min
28000, 0% finished. total: 86192656, remaining time:0.274558 min
30000, 0% finished. total: 86192656, remaining time:0.259878 min
32000, 0% finished. total: 86192656, remaining time:0.247353 min
34000, 0% finished. total: 86192656, remaining time:0.29843 min
36000, 0% finished. total: 86192656, remaining time:0.284602 min
38000, 0% finished. total: 86192656, remaining time:0.271464 min
40000, 0% finished. total: 86192656, remaining time:0.259613 min
42000, 0% finished. total: 86192656, remaining time:0.372164 min
44000, 0% finished. total: 86192656, remaining time:0.47888 min
46000, 0% finished. total: 86192656, remaining time:0.46104 min
48000, 0% finished. total: 86192656, remaining time:0.456154 min
50000, 0% finished. total: 86192656, remaining time:0.651959 min
52000, 0% finished. total: 86192656, remaining time:0.628883 min
54000, 0% finished. total: 86192656, remaining time:0.607016 min
56000, 0% finished. total: 86192656, remaining time:0.613598 min
58000, 0% finished. total: 86192656, remaining time:0.596857 min
60000, 0% finished. total: 86192656, remaining time:0.719232 min
62000, 0% finished. total: 86192656, remaining time:0.697593 min
64000, 0% finished. total: 86192656, remaining time:0.676874 min
66000, 0% finished. total: 86192656, remaining time:0.746454 min
68000, 0% finished. total: 86192656, remaining time:0.726109 min
70000, 0% finished. total: 86192656, remaining time:0.71597 min
72000, 0% finished. total: 86192656, remaining time:0.697819 min
74000, 0% finished. total: 86192656, remaining time:0.703925 min
76000, 0% finished. total: 86192656, remaining time:0.729613 min
78000, 0% finished. total: 86192656, remaining time:0.712139 min
80000, 0% finished. total: 86192656, remaining time:0.738418 min
82000, 0% finished. total: 86192656, remaining time:0.7489 min
84000, 0% finished. total: 86192656, remaining time:0.734298 min
86000, 0% finished. total: 86192656, remaining time:0.726483 min
88000, 0% finished. total: 86192656, remaining time:0.711394 min
90000, 0% finished. total: 86192656, remaining time:0.736497 min
92000, 0% finished. total: 86192656, remaining time:0.721533 min
94000, 0% finished. total: 86192656, remaining time:0.713855 min
96000, 0% finished. total: 86192656, remaining time:0.715171 min
98000, 0% finished. total: 86192656, remaining time:0.70277 min
100000, 0% finished. total: 86192656, remaining time:0.710825 min
102000, 0% finished. total: 86192656, remaining time:0.713034 min
104000, 0% finished. total: 86192656, remaining time:0.704216 min
106000, 0% finished. total: 86192656, remaining time:0.69404 min
108000, 0% finished. total: 86192656, remaining time:220.572 min
110000, 0% finished. total: 86192656, remaining time:216.573 min
